agency_id,agency_name,program_id,program_name,program_type,CHF_area_flag,housing_program_flag,housing_type
11,Accessible Housing Society,215,Newbridge - Accessible Housing Society,Supportive Housing,1,1,Place Based
11,Accessible Housing Society,216,Chinook House - Accessible Housing Society,Support Services,1,0,n/a
11,Accessible Housing Society,281,Inclusio - Accessible Housing Society,Supportive Housing,1,1,Place Based
11,Accessible Housing Society,97,Foundation Place - Accessible Housing Society,Supportive Housing,1,1,Place Based
11,Accessible Housing Society,98,Bridge to Home - Accessible Housing Society,Supportive Housing,1,1,Scattered Site
11,Accessible Housing Society,99,Fourth Dimension - Accessible Housing Society,Supportive Housing,1,1,Place Based
117,Calgary John Howard Society,118,Youth Residential Services - Calgary John Howard Society,Supportive Housing,1,1,Place Based
117,Calgary John Howard Society,119,HISTORICAL Raido House - Calgary John Howard Society,unknown,1,9,unknown
117,Calgary John Howard Society,121,HISTORICAL Windsor Park - Calgary John Howard Society,unknown,1,9,unknown
117,Calgary John Howard Society,154,Youth Services - Calgary John Howard Society,Support Services,1,0,n/a
117,Calgary John Howard Society,155,Aboriginal Youth Outreach - Calgary John Howard Society,Outreach,1,0,n/a
117,Calgary John Howard Society,165,Roofs for Youth - Calgary John Howard Society,Supportive Housing,1,1,Scattered Site
117,Calgary John Howard Society,190,Adult Residential Services - Calgary John Howard Society,unknown,1,0,n/a
117,Calgary John Howard Society,191,AHRP - Calgary John Howard Society,Supportive Housing,1,1,Scattered Site
117,Calgary John Howard Society,205,HISTORICAL Roofs for Youth Extension - Calgary John Howard Society,unknown,1,9,unknown
117,Calgary John Howard Society,229,Youth Advocacy and Support - Calgary John Howard Society,Prevention,1,0,n/a
117,Calgary John Howard Society,248,HISTORICAL Stepping Stone - Calgary John Howard Society,unknown,1,9,unknown
134,Discovery House,135,Community Housing - Discovery House,Supportive Housing,1,1,Scattered Site
134,Discovery House,241,Adaptive Case Management - Discovery House,Supportive Housing,1,1,Scattered Site
134,Discovery House,276,Housing First Graduates - Community Housing - Discovery House,Graduate Housing Program,1,1,Scattered Site
136,Metis Calgary Family Services Society,137,Rainbow Lodge - Metis Calgary Family Services Society,Supportive Housing,1,1,Place Based
136,Metis Calgary Family Services Society,187,In Home Support - Metis Calgary Family Services Society,Support Services,1,0,n/a
136,Metis Calgary Family Services Society,223,HISTORICAL Positive Parenting Program - Metis Calgary Family Services,Support Services,1,0,n/a
138,Alpha House,139,HISTORICAL Housing - Alpha House,unknown,1,9,unknown
138,Alpha House,140,HISTORICAL Encampment - Alpha House,Outreach,1,0,n/a
138,Alpha House,162,Alpha Housing - Alpha House,Supportive Housing,1,1,Scattered Site
138,Alpha House,163,Veterans Housing Project - Alpha House,Supportive Housing,1,1,Place Based
138,Alpha House,164,HISTORICAL Permanent Supportive Housing: Community - Alpha House,Supportive Housing,1,1,Place Based
138,Alpha House,182,DOAP - Alpha House,Outreach,1,0,n/a
138,Alpha House,183,Transitional Beds - Alpha House,Transitional Housing,1,1,Place Based
138,Alpha House,185,HISTORICAL Sunalta Lodging - Alpha House,Supportive Housing,1,1,Place Based
