orgid,organization,lat,long,accuracy,address_type,formatted_address,AB_nonprofit_flag,Calgary_Foundation_flag,CRA_donee_flag,Google_Place_flag,Postal Code,street,quadrant,calgary_ward_2017_label,ahs_local_code,AHS_Local_Name,CFSAUID,FSA_id,CFSAUID_EDIT_add_lowercase,comm_code,community_name,CTUID
2,AARCS - ALBERTA ANIMAL RESCUE CREW SOCIETY,50.987809,-113.9619178,establishment,"establishment,point_of_interest","5060 74 Ave SE, Calgary, AB T2C 3C9, Canada",N,N,Y,Y,T2C3C9,5060 74 Ave SE,SE,WARD 9,Z2.3.A.01,CALGARY - EAST,T2Z,154,T2Z,FHI,FOOTHILLS,8250002.04
3,ABILITY4GOOD (ABILITY SOCIETY OF ALBERTA ),51.089788,-114.055938,establishment,"establishment,point_of_interest","327 41 Ave NE, Calgary, AB T2E 2N4, Canada",N,Y,Y,Y,T2E2N4,327 41 Ave NE,NE,WARD 4,Z2.1.C.03,CALGARY - NOSEHILL,T2E,4,T2E,GRI,GREENVIEW INDUSTRIAL PARK,8250073.00
4,ABORIGINAL FRIENDSHIP CENTRE OF CALGARY,51.0412499,-114.0672224,establishment,"establishment,point_of_interest","223 12 Ave SW, Calgary, AB T2R 0G9, Canada",Y,N,Y,Y,T2R0G9,223 12 Ave SW,SW,WARD 11,Z2.4.B.02,CALGARY - CENTRE,T2R,109,T2R,BLN,BELTLINE,8250044.00
5,ABORIGINAL FUTURES CAREER & TRAINING CENTRE,50.9994573,-114.0679075,establishment,"establishment,point_of_interest","6011 1a St SW, Calgary, AB T2H 0G5, Canada",N,N,N,Y,T2H0G5,6011 1a St SW,SW,WARD 9,Z2.4.B.02,CALGARY - CENTRE,T2H,35,T2H,MNI,MANCHESTER INDUSTRIAL,8250030.00
1015,ABORIGINAL HEADSTART,51.0655421,-113.9881485,establishment,"establishment,point_of_interest","3200 14 Ave NE, Calgary, AB T2A 6J4, Canada",N,N,N,Y,T2A6J4,3200 14 Ave NE,NE,WARD 10,Z2.2.B.02,CALGARY - LOWER NE,T2A,174,T2A,FRA,FRANKLIN,8250039.00
6,ABORIGINAL RESOURCE CENTRE ASSOCIATION,51.04391,-114.0971153,establishment,"establishment,point_of_interest","1603 10 Ave SW, Calgary, AB T3C 0J7, Canada",N,N,Y,Y,T3C0J7,1603 10 Ave SW,SW,WARD 8,Z2.4.B.02,CALGARY - CENTRE,T3C,7,T3C,SNA,SUNALTA,8250046.02
7,ABORIGINAL STANDING COMMITTEE ON HOUSING AND HOMELESSNESS,51.0655349,-114.0560755,establishment,"establishment,lawyer,point_of_interest","Edmonton Trail, Calgary, AB T2E 3K8, Canada",N,N,N,Y,T2E3K8,Edmonton Trail,NE,WARD 9,Z2.1.F.06,CALGARY - CENTRE NORTH,T2E,4,T2E,REN,RENFREW,8250059.00
9,ACCESSIBLE HOUSING,51.0808533,-114.0309795,establishment,"establishment,point_of_interest","1212 31 Ave NE, Calgary, AB T2E 7S8, Canada",N,N,Y,N,T2E7S8,1212 31 Ave NE,NE,WARD 10,Z2.2.A.01,CALGARY - UPPER NE,T2E,4,T2E,SAW,SOUTH AIRWAYS,8250061.00
10,ACCESSIBLE HOUSING - INCLUSIO,51.073203,-114.0861188,establishment,"establishment,point_of_interest","1129 23 Ave NW, Calgary, AB T2M 4P5, Canada",N,N,N,Y,T2M4P5,1129 23 Ave NW,NW,WARD 7,Z2.1.C.03,CALGARY - NOSEHILL,T2M,41,T2M,CAP,CAPITOL HILL,8250064.00
11,ACCESSIBLE HOUSING SOCIETY,51.073203,-114.0861188,establishment,"establishment,point_of_interest","1129 23 Ave NW, Calgary, AB T2M 4P5, Canada",Y,Y,Y,Y,T2M4P5,1129 23 Ave NW,NW,WARD 7,Z2.1.C.03,CALGARY - NOSEHILL,T2M,41,T2M,CAP,CAPITOL HILL,8250064.00
12,ACT ALBERTA – THE ACTION COALITION ON HUMAN TRAFFICKING ALBERTA,51.079098,-114.009637,establishment,"establishment,point_of_interest","3015 A 21 St NE, Calgary, AB T2E 7T1, Canada",N,Y,N,N,T2E7T1,3015 A 21 St NE,NE,WARD 10,Z2.2.A.01,CALGARY - UPPER NE,T2E,4,T2E,SAW,SOUTH AIRWAYS,8250061.00
13,ACTIONCOACH CANADA,51.0376143,-114.0727417,establishment,"establishment,point_of_interest","519 17 Ave SW Suite 810, Calgary, AB T3G 5B3, Canada",N,N,N,Y,T3G5B3,519 17 Ave SW Suite 810,SW,WARD 8,Z2.4.D.04,CALGARY - ELBOW,T2S,110,T2S,CLI,CLIFF BUNGALOW,8250027.00
14,"ADDICTION AWARENESS & RECOVERY ,Calgary, AB, CA",50.9713144,-114.080726,establishment,Alcoholism Treatment Program (google maps),"200 Haddon Rd SW, Calgary, AB T2V 2Y6","","","","",T2V2Y6,200 Haddon Rd SW,SW,WARD 11,Z2.4.E.05,CALGARY - FISH CREEK,T2V,149,T2V,HAY,HAYSBORO,8250009.00
15,AGAPÉ LANGUAGE CENTRE,51.127432,-114.0761026,establishment,"establishment,point_of_interest,school","16 Bermuda Dr NW, Calgary, AB T3K 1H7, Canada",N,N,Y,Y,T3K1H7,16 Bermuda Dr NW,NW,WARD 4,Z2.1.B.02,CALGARY - NORTH,T3K,158,T3K,BED,BEDDINGTON HEIGHTS,8250076.09
16,AGILUS WORK SOLUTIONS,51.0490127,-114.0788322,establishment,"establishment,point_of_interest","800 5 Ave SW Suite 1600, Calgary, AB T2P 3T6, Canada",N,N,N,Y,T2P3T6,800 5 Ave SW Suite 1600,SW,WARD 8,Z2.4.B.02,CALGARY - CENTRE,T2P,108,T2P,DNC,DOWNTOWN COMMERCIAL CORE,8250043.00
17,AGRICULTURE FOR LIFE INC.,51.0458297,-114.1164225,establishment,"establishment,point_of_interest","2408 10 Ave SW Suite 300, Calgary, AB T3C 0K6, Canada",Y,Y,Y,N,T3C0K6,2408 10 Ave SW Suite 300,SW,WARD 8,Z2.4.B.02,CALGARY - CENTRE,T3C,7,T3C,SSW,SCARBORO/ SUNALTA WEST,8250046.02
20,ALBERTA ADOLESCENT RECOVERY CENTRE,50.9934299,-114.058733,establishment,"establishment,point_of_interest","303 Forge Rd SE, Calgary, AB T2H 0S9, Canada",N,Y,Y,N,T2H0S9,303 Forge Rd SE,SE,WARD 9,Z2.4.E.05,CALGARY - FISH CREEK,T2H,35,T2H,FVI,FAIRVIEW INDUSTRIAL,8250012.00
21,ALBERTA ASSOCIATION FOR BETTER COMMUNITIES,51.0520753,-114.051283,establishment,"establishment,point_of_interest","606 Meredith Rd NE Unit #3, Calgary, AB T2E 5A8, Canada",Y,Y,N,N,T2E5A8,606 Meredith Rd NE Unit #3,NE,WARD 9,Z2.1.F.06,CALGARY - CENTRE NORTH,T2E,4,T2E,BRD,BRIDGELAND/RIVERSIDE,8250041.00
22,ALBERTA ASSOCIATION OF IMMIGRANT SERVING AGENCIES (AAISA),51.045802,-114.081725,establishment,"establishment,point_of_interest","903 8 Ave SW, Calgary, AB T2P 0P7, Canada",N,N,N,Y,T2P0P7,903 8 Ave SW,SW,WARD 8,Z2.4.B.02,CALGARY - CENTRE,T2P,108,T2P,DNC,DOWNTOWN COMMERCIAL CORE,8250046.01
23,ALBERTA CANCER FOUNDATION - CALGARY OFFICE,51.0674829,-114.1284133,establishment,"establishment,point_of_interest","1620 29 St NW Unit 300, Calgary, AB T2N 4L7, Canada",N,N,Y,Y,T2N4L7,1620 29 St NW Unit 300,NW,WARD 7,Z2.1.F.06,CALGARY - CENTRE NORTH,T2N,105,T2N,STA,ST. ANDREWS HEIGHTS,8250055.00
24,ALBERTA CHILD WELFARE SERVICE,51.0590838,-114.0950381,establishment,"establishment,point_of_interest","811 14 St NW, Calgary, AB T2N 2A4, Canada",N,N,N,Y,T2N2A4,811 14 St NW,NW,WARD 7,Z2.1.F.06,CALGARY - CENTRE NORTH,T2N,105,T2N,HIL,HILLHURST,8250057.00
25,ALBERTA CHILD WELFARE SVC,51.0381498,-114.0713308,establishment,"establishment,local_government_office,point_of_interest","1520 4 St SW, Calgary, AB T2R 1H5, Canada",N,N,N,Y,T2R1H5,1520 4 St SW,SW,WARD 11,Z2.4.B.02,CALGARY - CENTRE,T2R,109,T2R,BLN,BELTLINE,8250031.00
26,ALBERTA CHILDREN'S HOSPITAL,51.0746227,-114.1484301,establishment,"establishment,health,hospital,point_of_interest","28 Oki Dr NW, Calgary, AB T3B 6A8, Canada",N,N,Y,Y,T3B6A8,28 Oki Dr NW,NW,WARD 7,Z2.1.D.04,CALGARY - LOWER NW,T2N,105,T2N,UND,UNIVERSITY DISTRICT,8250066.01
27,ALBERTA COUNCIL OF DISABILITY SERVICES,51.0787509,-114.0264779,establishment,"establishment,point_of_interest","3015 12 St NE #160, Calgary, AB T2E 7J2, Canada",Y,N,N,Y,T2E7J2,3015 12 St NE #160,NE,WARD 10,Z2.2.A.01,CALGARY - UPPER NE,T2E,4,T2E,SAW,SOUTH AIRWAYS,8250061.00
28,ALBERTA GUIDE DOGS (A DIVISION OF BC GUIDE DOG SERVICES),50.9981109,-114.0542802,establishment,"establishment,point_of_interest","6115 4 St SE #11, Calgary, AB T2H 2H9, Canada",N,Y,N,N,T2H2H9,6115 4 St SE #11,SE,WARD 9,Z2.4.B.02,CALGARY - CENTRE,T2H,35,T2H,MNI,MANCHESTER INDUSTRIAL,8250030.00
29,ALBERTA HEALTH SERVICES,51.0661165,-114.1339313,establishment,"establishment,health,hospital,point_of_interest","1620 29 St NW, Calgary, AB T2N 4L7, Canada",N,N,Y,Y,T2N4L7,1620 29 St NW,NW,WARD 7,Z2.1.F.06,CALGARY - CENTRE NORTH,T2N,105,T2N,STA,ST. ANDREWS HEIGHTS,8250055.00
30,ALBERTA HOSPICE PALLIATIVE CARE ASSOCIATION,50.990785,-114.038096,establishment,"establishment,point_of_interest","1245 70 Ave SE, Calgary, AB T2H 2X8, Canada",Y,Y,Y,N,T2H2X8,1245 70 Ave SE,SE,WARD 9,Z2.4.E.05,CALGARY - FISH CREEK,T2J,37,T2J,EFV,EAST FAIRVIEW INDUSTRIAL,8250003.00
31,ALBERTA LANDLORD EVICTION CO.,51.0478889,-114.0867382,establishment,"establishment,point_of_interest","1111 6 Ave SW, Calgary, AB T2P 5M5, Canada",N,N,N,Y,T2P5M5,1111 6 Ave SW,SW,WARD 8,Z2.4.B.02,CALGARY - CENTRE,T2P,108,T2P,DNW,DOWNTOWN WEST END,8250046.01
32,ALBERTA LUNG ASSOCIATION,51.0626236,-114.1329147,establishment,"establishment,point_of_interest","1331 29 St NW, Calgary, AB T2N 4N2, Canada",N,Y,N,N,T2N4N2,1331 29 St NW,NW,WARD 7,Z2.1.F.06,CALGARY - CENTRE NORTH,T2N,105,T2N,STA,ST. ANDREWS HEIGHTS,8250055.00
33,ALBERTA NETWORK OF IMMIGRANT WOMEN,51.0648352,-114.0567808,establishment,"establishment,point_of_interest","1409 Edmonton Trail, Calgary, AB T2E 3K8, Canada",N,N,Y,Y,T2E3K8,1409 Edmonton Trail,NE,WARD 7,Z2.1.F.06,CALGARY - CENTRE NORTH,T2E,4,T2E,CRE,CRESCENT HEIGHTS,8250059.00
34,ALBERTA SUPPORTS CENTRE,51.0688706,-114.1163393,establishment,"establishment,local_government_office,point_of_interest","1816 Crowchild Trail NW, Calgary, AB T2M 0M5, Canada",N,N,N,Y,T2M0M5,1816 Crowchild Trail NW,NW,WARD 7,Z2.1.C.03,CALGARY - NOSEHILL,T2M,41,T2M,BNF,BANFF TRAIL,8250065.00
35,ALBERTA WORKS,51.0688999,-114.1166009,establishment,"establishment,local_government_office,point_of_interest","1816 Crowchild Trail NW, Calgary, AB T2M 0M5, Canada",N,N,N,Y,T2M0M5,1816 Crowchild Trail NW,NW,WARD 7,Z2.1.C.03,CALGARY - NOSEHILL,T2M,41,T2M,BNF,BANFF TRAIL,8250065.00
