agency_id,agency_name,program_name,organization_id,organization_name,missing_reason,matched,organization_new_name,alberta_organization_shelter,shelter_type,city,funded,capacity,year
2,Children's Cottage Society,HomeLinks - Children's Cottage Society,474,"THE CHILDREN'S COTTAGE SOCIETY OF CALGARY, AN ALBERTA SOCIETY",,1,Children's Cottage Society,,,,,,
2,Children's Cottage Society,Rapid Rehousing - Children's Cottage Society,474,"THE CHILDREN'S COTTAGE SOCIETY OF CALGARY, AN ALBERTA SOCIETY",,1,Children's Cottage Society,,,,,,
2,Children's Cottage Society,HomeBridge - Children's Cottage,474,"THE CHILDREN'S COTTAGE SOCIETY OF CALGARY, AN ALBERTA SOCIETY",,1,Children's Cottage Society,,,,,,
2,Children's Cottage Society,EPOP Graduates - Children's Cottage Society,474,"THE CHILDREN'S COTTAGE SOCIETY OF CALGARY, AN ALBERTA SOCIETY",,1,Children's Cottage Society,,,,,,
2,Children's Cottage Society,Adaptive Case Management - Children's Cottage Society,474,"THE CHILDREN'S COTTAGE SOCIETY OF CALGARY, AN ALBERTA SOCIETY",,1,Children's Cottage Society,,,,,,
2,Children's Cottage Society,Housing First Graduates - Rapid Rehousing - Children's Cottage Society,474,"THE CHILDREN'S COTTAGE SOCIETY OF CALGARY, AN ALBERTA SOCIETY",,1,Children's Cottage Society,,,,,,
2,Children's Cottage Society,Housing First Graduates - HomeLinks - Children's Cottage Society,474,"THE CHILDREN'S COTTAGE SOCIETY OF CALGARY, AN ALBERTA SOCIETY",,1,Children's Cottage Society,,,,,,
2,Children's Cottage Society,Housing First Graduates - Adaptive Case Management - Children's Cottage Society,474,"THE CHILDREN'S COTTAGE SOCIETY OF CALGARY, AN ALBERTA SOCIETY",,1,Children's Cottage Society,,,,,,
2,Children's Cottage Society,Pre-Screen HomeBridge - Children's Cottage,474,"THE CHILDREN'S COTTAGE SOCIETY OF CALGARY, AN ALBERTA SOCIETY",,1,Children's Cottage Society,,,,,,
2,Children's Cottage Society,Brenda's House - Children's Cottage Society,474,"THE CHILDREN'S COTTAGE SOCIETY OF CALGARY, AN ALBERTA SOCIETY",,1,Children's Cottage Society,,,,,,
2,Children's Cottage Society,HISTORICAL Crisis Nursery - Children's Cottage Society,474,"THE CHILDREN'S COTTAGE SOCIETY OF CALGARY, AN ALBERTA SOCIETY",,1,Children's Cottage Society,,,,,,
2,Children's Cottage Society,HISTORICAL Community Respite - Children's Cottage Society,474,"THE CHILDREN'S COTTAGE SOCIETY OF CALGARY, AN ALBERTA SOCIETY",,1,Children's Cottage Society,,,,,,
2,Children's Cottage Society,HISTORICAL Healthy Families - Children's Cottage Society,474,"THE CHILDREN'S COTTAGE SOCIETY OF CALGARY, AN ALBERTA SOCIETY",,1,Children's Cottage Society,,,,,,
7,Inn From the Cold,Inn From The Cold Emergency Family Shelter,297,INN FROM THE COLD,,1,Inn From the Cold,Inn from the Cold,Family Emergency,Calgary,80,120,2013
7,Inn From the Cold,Inn From The Cold Child Development,297,INN FROM THE COLD,,1,Inn From the Cold,,,,,,
7,Inn From the Cold,Inn From The Cold - New Journeys,297,INN FROM THE COLD,,1,Inn From the Cold,,,,,,
7,Inn From the Cold,Inn From The Cold Journey House 1,297,INN FROM THE COLD,,1,Inn From the Cold,,,,,,
7,Inn From the Cold,Inn From The Cold - Knox,297,INN FROM THE COLD,,1,Inn From the Cold,,,,,,
7,Inn From the Cold,Inn From The Cold Journey House 2,297,INN FROM THE COLD,,1,Inn From the Cold,,,,,,
7,Inn From the Cold,Adaptive Case Management - Inn From The Cold,297,INN FROM THE COLD,,1,Inn From the Cold,,,,,,
7,Inn From the Cold,Inn From The Cold Floating Outreach,297,INN FROM THE COLD,,1,Inn From the Cold,,,,,,
7,Inn From the Cold,Inn From The Cold - Housing with Intensive Supports,297,INN FROM THE COLD,,1,Inn From the Cold,,,,,,
8,Boys and Girls Clubs Calgary,Haven's Way - Boys and Girls Clubs Calgary,76,BOYS AND GIRLS CLUBS OF CALGARY,,1,Boys and Girls Clubs Calgary,,,,,,
8,Boys and Girls Clubs Calgary,The Infinity Project - Boys and Girls Clubs Calgary,76,BOYS AND GIRLS CLUBS OF CALGARY,,1,Boys and Girls Clubs Calgary,,,,,,
8,Boys and Girls Clubs Calgary,Hope Phone - Boys and Girls Clubs Calgary,76,BOYS AND GIRLS CLUBS OF CALGARY,,1,Boys and Girls Clubs Calgary,,,,,,
8,Boys and Girls Clubs Calgary,Script - Boys and Girls Clubs Calgary,76,BOYS AND GIRLS CLUBS OF CALGARY,,1,Boys and Girls Clubs Calgary,,,,,,
8,Boys and Girls Clubs Calgary,Elements - Boys & Girls Club Calgary,76,BOYS AND GIRLS CLUBS OF CALGARY,,1,Boys and Girls Clubs Calgary,,,,,,
8,Boys and Girls Clubs Calgary,Home Fire - Boys and Girls Clubs Calgary,76,BOYS AND GIRLS CLUBS OF CALGARY,,1,Boys and Girls Clubs Calgary,,,,,,
8,Boys and Girls Clubs Calgary,Aura - Boys and Girls Clubs Calgary,76,BOYS AND GIRLS CLUBS OF CALGARY,,1,Boys and Girls Clubs Calgary,,,,,,
8,Boys and Girls Clubs Calgary,(HISTORICAL) Diversion - Boys and Girls Club Calgary,76,BOYS AND GIRLS CLUBS OF CALGARY,,1,Boys and Girls Clubs Calgary,,,,,,
8,Boys and Girls Clubs Calgary,(HISTORICAL) Toni Kohn House - Boys and Girls Clubs Calgary,76,BOYS AND GIRLS CLUBS OF CALGARY,,1,Boys and Girls Clubs Calgary,,,,,,
8,Boys and Girls Clubs Calgary,Unity Project - Boys and Girls Clubs Calgary,76,BOYS AND GIRLS CLUBS OF CALGARY,,1,Boys and Girls Clubs Calgary,,,,,,
8,Boys and Girls Clubs Calgary,Diversion - Boys and Girls Club Calgary,76,BOYS AND GIRLS CLUBS OF CALGARY,,1,Boys and Girls Clubs Calgary,,,,,,
9,"McMan Youth, Family & Community Services Association",Youth Homelessness - McMan,nan,,Couldn't look up information in Organization Table,0,McMan Youth Family & Community Services Association,,,,,,
9,"McMan Youth, Family & Community Services Association",Hope Homes Program - McMan,nan,,Couldn't look up information in Organization Table,0,McMan Youth Family & Community Services Association,,,,,,
9,"McMan Youth, Family & Community Services Association",Aboriginal Hope Homes Program - McMan,nan,,Couldn't look up information in Organization Table,0,McMan Youth Family & Community Services Association,,,,,,
9,"McMan Youth, Family & Community Services Association",HISTORICAL Wellington Place - McMan,nan,,Couldn't look up information in Organization Table,0,McMan Youth Family & Community Services Association,,,,,,
9,"McMan Youth, Family & Community Services Association",Community - McMan,nan,,Couldn't look up information in Organization Table,0,McMan Youth Family & Community Services Association,,,,,,
9,"McMan Youth, Family & Community Services Association",Hope Homes Family Preservation - McMan,nan,,Couldn't look up information in Organization Table,0,McMan Youth Family & Community Services Association,,,,,,
